attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,endpoint,start-date,plugin,end-date,method,,,,
crown-copyright,specification,https://www.registers.service.gov.uk/registers/approved-open-standard,66730baaf4d462c19a5051c278129b902482f7de96b930c62d23d482e85b03e5,oglv3,government-organisation:OT1056,,,,
crown-copyright,specification,https://www.registers.service.gov.uk/registers/datatype,a40ed40ded2b89c46b0ccb6e8a5af7cc2154326e9b4014969a31460724d0fbff,oglv3,government-organisation:OT1056,,,,
crown-copyright,specification,https://www.registers.service.gov.uk/registers/field,27b999c89602a101c4f8c3306eddd8893b7770b5d10efa0ff650d9a6ff0c71fc,oglv3,government-organisation:OT1056,,,,
crown-copyright,specification,https://www.registers.service.gov.uk/registers/register,66de2d91b12fd1cb18c3babf02ceadb69622ac22a87e73f75b5643fcf6b60e76,oglv3,government-organisation:OT1056,,,,
