role,reference,name,description,wikipedia,wikidata,entry-date,start-date,end-date,notes
local-planning-authority,local-planning-authority,Local Planning Authority,,Local_planning_authority,Q6664495,,,,
mineral-planning-authority,mineral-planning-authority,Mineral Planning Authority,,,,,,,
waste-planning-authority,waste-planning-authority,Waste Planning Authority,,,,,,,
collecting-authority,collecting-authority,Collecting Authority,,,,,,,
charging-authority,charging-authority,Charging Authority,,,,,,,
