reference,quality,priority,name,description
none,none,0,No data,Data is missing
some,some,1,Some data,Contains data from an alternative source
indicative,indicative,2,Indicative data,Data from alternative sources suitable for informing indicative decisons
verifiable,verifiable,3,Indicative data,Data which verifiably matches material information
authoritative,authoritative,4,Authoritative data,Contains some data from authoritative sources
usable,usable,5,Usable data,Contains authoritative data suitable for informing administrative decisions
trustworthy,trustworthy,6,Trustworthy data,Authoritative data which cites and matches material sources of information
