specification-status,name,description
working-draft,Working draft,Under development with data providers
candidate-standard,Candidate standard,Being beta tested with a number of data providers
open-standard,Open standard,May be mandated for data providers
piloting,Piloting,Being tested with a select number of data providers
withdrawn,Withdrawn,Withdrawn during development and may be removed
deprecated,deprecated,No longer being used
