severity,priority,name,description
critical,1,Critical,Unable to continue processing
error,2,Error,Action is needed to resolve an issue
warning,3,Warning,A potential issue
notice,4,Notice,A condition requires attention
info,5,Informational,Confirmation of processing
debug,6,Debug,Detailed information of processing
