reference,name,description
MUST,MUST,'This word, or the terms "REQUIRED" or "SHALL", mean that the definition is an absolute requirement of the specification.'
MUST NOT,MUST NOT,'This phrase, or the phrase "SHALL NOT", mean that the definition is an absolute prohibition of the specification.'
SHOULD,SHOULD,'This word, or the adjective "RECOMMENDED", mean that there may exist valid reasons in particular circumstances to ignore a particular item, but the full implications must be understood and carefully weighed before choosing a different course.'
SHOULD NOT,SHOULD NOT,'This phrase, or the phrase "NOT RECOMMENDED" mean that there may exist valid reasons in particular circumstances when the particular behavior is acceptable or even useful, but the full implications should be understood and the case carefully weighed before implementing any behavior described with this label.'
MAY,MAY,'This word, or the adjective "OPTIONAL", mean that an item is truly optional.'
