award,start-date,fund,intervention,amount,organisation,organisations,documentation-url,notes
1,44256,local-plans-pathfinders,plan-making,80000,local-authority:ASF,,,
2,44256,local-plans-pathfinders,plan-making,60000,local-authority:BIR,,,
3,44256,local-plans-pathfinders,plan-making,65000,local-authority:BRX,,,
4,44256,local-plans-pathfinders,plan-making,80000,local-authority:DAC,,,
5,44256,local-plans-pathfinders,plan-making,45000,local-authority:ESK,,,
6,44256,local-plans-pathfinders,plan-making,80000,local-authority:HNS,,,
7,44256,local-plans-pathfinders,plan-making,80000,local-authority:KEC,,,
8,44256,local-plans-pathfinders,plan-making,60000,local-authority:NET,local-authority:GAT,,
9,44256,local-plans-pathfinders,plan-making,65000,local-authority:PLY,local-authority:SHA;local-authority:WDE,,
10,44256,local-plans-pathfinders,plan-making,60000,local-authority:STR,local-authority:WAW,,
11,44470,proptech-round-1,engagement,100000,local-authority:BDG,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
12,44470,proptech-round-1,engagement,100000,local-authority:BOS,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
13,44470,proptech-round-1,engagement,100000,local-authority:CHS,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
14,44470,proptech-round-1,engagement,53193,local-authority:COT,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
15,44470,proptech-round-1,engagement,100000,local-authority:DAC,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
16,44470,proptech-round-1,engagement,95000,local-authority:DST,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
17,44470,proptech-round-1,engagement,100000,local-authority:HNS,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
18,44470,proptech-round-1,engagement,100000,local-authority:NLN,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
19,44470,proptech-round-1,engagement,98000,local-authority:SCA,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
20,44470,proptech-round-1,engagement,90000,local-authority:SKP,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
21,44470,proptech-round-1,engagement,100000,local-authority:STH,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
22,44470,proptech-round-1,engagement,99975,local-authority:WAT,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
23,44470,proptech-round-1,engagement,30000,local-authority:WND,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
24,44562,odp-pathfinders,integration,58000,local-authority:BAN,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
25,44562,odp-pathfinders,integration,150000,local-authority:COL,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
26,44562,odp-pathfinders,integration,150000,local-authority:HAV,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
27,44562,odp-pathfinders,integration,150000,local-authority:HRW,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
28,44562,odp-pathfinders,integration,149000,local-authority:NDE,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
29,44562,odp-pathfinders,integration,114000,local-authority:NGM,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
30,44562,odp-pathfinders,integration,150000,local-authority:SEV,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
31,44562,odp-pathfinders,integration,150000,local-authority:TEW,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
32,44562,ripa-bops,software,400000,local-authority:CMD,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
33,44562,ripa-bops,software,348000,local-authority:DAC,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
34,44562,ripa-bops,software,358000,local-authority:DNC,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
35,44562,ripa-bops,software,395000,local-authority:GLO,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
36,44562,ripa-bops,software,400000,local-authority:MDW,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
37,44562,ripa-bops,software,400000,local-authority:NET,,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
38,44621,proptech-round-2,engagement,65500,local-authority:BIR,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
39,44621,proptech-round-2,engagement,95800,local-authority:BOS,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
40,44621,proptech-round-2,engagement,125000,local-authority:CON,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
41,44621,proptech-round-2,engagement,121000,local-authority:DAC,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
42,44621,proptech-round-2,engagement,40500,local-authority:EHA,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
43,44621,proptech-round-2,engagement,228800,local-authority:EPP,local-authority:EHE;local-authority:HAR;local-authority:HRT;local-authority:ESS,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
44,44621,proptech-round-2,engagement,125000,local-authority:EPS,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
45,44621,proptech-round-2,engagement,83000,local-authority:HAA,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
46,44621,proptech-round-2,engagement,125000,local-authority:HAO,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
47,44621,proptech-round-2,engagement,99000,local-authority:HRY,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
48,44621,proptech-round-2,engagement,118000,local-authority:KEC,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
49,44621,proptech-round-2,engagement,92164,local-authority:LBH,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
50,44621,proptech-round-2,engagement,86250,local-authority:LCE,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
51,44621,proptech-round-2,engagement,112500,local-authority:LEE,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
52,44621,proptech-round-2,engagement,125000,local-authority:NWM,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
53,44621,proptech-round-2,engagement,285000,local-authority:PLY,local-authority:SHA;local-authority:WDE,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
54,44621,proptech-round-2,engagement,125000,local-authority:RDB,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
55,44621,proptech-round-2,engagement,90020,local-authority:RUN,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
56,44621,proptech-round-2,engagement,117000,local-authority:SCA,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
57,44621,proptech-round-2,engagement,121187,local-authority:SRY,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
58,44621,proptech-round-2,engagement,125000,local-authority:STH,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
59,44621,proptech-round-2,engagement,125000,local-authority:STV,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
60,44621,proptech-round-2,engagement,123000,local-authority:WAT,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
61,44621,proptech-round-2,engagement,69500,local-authority:WFT,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
62,44621,proptech-round-2,engagement,120000,local-authority:WLL,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
63,44621,proptech-round-2,engagement,98000,local-authority:WND,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
64,44621,proptech-round-2,engagement,118000,local-authority:WOX,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
65,44621,proptech-round-2,engagement,92000,local-authority:WRL,,https://www.localdigital.gov.uk/digital-planning/proptech/funding,
66,44805,odp-top-up-1,software,2300000,local-authority:BUC,,,
67,44805,odp-top-up-1,software,2300000,local-authority:LBH,,,
68,44805,odp-top-up-1,software,250000,local-authority:SWK,,,
69,44896,proptech-top-up,engagement,44000,local-authority:BOS,,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
70,44896,proptech-top-up,engagement,100000,local-authority:CHS,local-authority:HNS,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
71,44896,proptech-top-up,engagement,230000,local-authority:COT,local-authority:WOX,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
72,44896,proptech-top-up,engagement,30000,local-authority:DAC,local-authority:SAL;local-authority:THE;local-authority:HER;local-authority:WAT;local-authority:HRT,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
73,44896,proptech-top-up,engagement,100000,local-authority:HAA,,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
