award,start-date,fund,intervention,amount,organisation,organisations,documentation-url,notes
74,44896,proptech-top-up,engagement,100000,local-authority:HNS,local-authority:CHS,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
75,44896,proptech-top-up,engagement,200000,local-authority:PLY,local-authority:SHA;local-authority:WDE,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
76,44896,proptech-top-up,engagement,100000,local-authority:STH,,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
77,44896,proptech-top-up,engagement,100000,local-authority:WND,local-authority:RIC,https://mhclgdigital.blog.gov.uk/2022/12/16/dluhc-continues-to-support-local-planning-authorities-to-scale-the-adoption-of-digital-citizen-engagement-tools/,
78,44927,odp-top-up-2,software,250000,local-authority:CMD,,,
79,44927,odp-top-up-2,software,320000,local-authority:DAC,,,
80,44927,odp-top-up-2,software,250000,local-authority:MDW,,,
81,44927,odp-top-up-2,software,386000,local-authority:NET,,,
82,44986,odp-software-improvement,software,400000,local-authority:BIR,,,
83,44986,odp-software-improvement,software,400000,local-authority:BNE,,,
84,44986,odp-software-improvement,software,400000,local-authority:CAT,,,
85,44986,odp-software-improvement,software,400000,local-authority:EPS,,,
86,44986,odp-software-improvement,integration,300000,local-authority:GAT,,,
87,44986,odp-software-improvement,integration,150000,local-authority:DOV,,,
88,44986,odp-software-improvement,integration,250000,local-authority:DST,,,
89,44986,odp-software-improvement,integration,250000,local-authority:GRY,,,
90,44986,odp-software-improvement,integration,300000,local-authority:KTT,,,
91,44986,odp-software-improvement,integration,105306,local-authority:LIV,,,
92,44986,odp-software-improvement,integration,250000,local-authority:NLN,,,
93,44986,odp-software-improvement,integration,248000,local-authority:NSM,,,
94,44986,odp-software-improvement,integration,225600,local-authority:RDB,,,
95,44986,odp-software-improvement,integration,300000,local-authority:SAL,,,
96,44986,odp-software-improvement,integration,250000,local-authority:SLF,,,
97,44986,odp-software-improvement,integration,300000,local-authority:TEW,,,
98,44986,odp-software-improvement,integration,353000,local-authority:WBK,,,
99,44986,odp-software-improvement,integration,250000,local-authority:WFT,,,
100,44986,odp-software-improvement,integration,136225,local-authority:WRL,,,
101,44986,proptech-round-3,engagement,250000,local-authority:BIR,,,
102,44986,proptech-round-3,engagement,238800,local-authority:BOS,,,
103,44986,proptech-round-3,engagement,365000,local-authority:CON,,,
104,44986,proptech-round-3,engagement,50000,local-authority:COT,local-authority:WOX,,
105,44986,proptech-round-3,engagement,325000,local-authority:DAC,,,
106,44986,proptech-round-3,engagement,295000,local-authority:EPP,,,
107,44986,proptech-round-3,engagement,250000,local-authority:EPS,,,
108,44986,proptech-round-3,engagement,30000,local-authority:HNS,,,
109,44986,proptech-round-3,engagement,375000,local-authority:NGM,local-authority:BRD,,
110,44986,proptech-round-3,engagement,100000,local-authority:NWM,,,
111,44986,proptech-round-3,engagement,290000,local-authority:SCA,,,
112,44986,proptech-round-3,engagement,180000,local-authority:STH,,,
113,44986,proptech-round-3,engagement,99000,local-authority:WFT,,,
114,44986,proptech-round-3,engagement,100000,local-authority:WND,local-authority:RIC,,
115,44986,proptech-round-3,engagement,325000,local-authority:WRL,,,
116,45261,odp-top-up-3,software,2000000,local-authority:BUC,,,
117,45261,odp-top-up-3,software,2000000,local-authority:CMD,,,
118,45261,odp-top-up-3,software,2200000,local-authority:LBH,,,
119,45292,odp-top-up-4,integration,40000,local-authority:DST,,,
120,45292,odp-top-up-4,integration,40000,local-authority:LIV,,,
121,45292,odp-top-up-4,integration,40000,local-authority:NLN,,,
122,45292,odp-top-up-4,integration,40000,local-authority:RDB,,,
123,45292,odp-top-up-4,integration,40000,local-authority:SLF,,,
124,45292,odp-top-up-4,integration,40000,local-authority:WFT,,,
125,45292,odp-top-up-4,integration,40000,local-authority:WRL,,,
126,45323,odp-round-2,improvement,100000,local-authority:ASF,,,
127,45323,odp-round-2,improvement,100000,local-authority:BAI,,,
128,45323,odp-round-2,improvement,100000,local-authority:BDG,,,
129,45323,odp-round-2,improvement,100000,local-authority:BOL,,,
130,45323,odp-round-2,improvement,100000,local-authority:BST,,,
131,45323,odp-round-2,improvement,100000,local-authority:CAS,,,
132,45323,odp-round-2,improvement,100000,local-authority:CBF,,,
133,45323,odp-round-2,improvement,100000,local-authority:CRY,,,
134,45323,odp-round-2,improvement,100000,local-authority:ECA,,,
135,45323,odp-round-2,improvement,100000,local-authority:EHA,,,
136,45323,odp-round-2,improvement,100000,local-authority:EHE,,,
137,45323,odp-round-2,improvement,100000,local-authority:ENF,,,
138,45323,odp-round-2,improvement,100000,local-authority:HNS,,,
139,45323,odp-round-2,improvement,100000,local-authority:HOR,,,
140,45323,odp-round-2,improvement,100000,local-authority:HRY,,,
141,45323,odp-round-2,improvement,100000,local-authority:KEC,,,
142,45323,odp-round-2,improvement,100000,local-authority:LCE,,,
143,45323,odp-round-2,improvement,100000,local-authority:LND,,,
144,45323,odp-round-2,improvement,100000,local-authority:MIK,,,
145,45323,odp-round-2,improvement,100000,local-authority:NBL,,,
146,45323,odp-round-2,improvement,100000,local-authority:NEW,,,
147,45323,odp-round-2,improvement,100000,local-authority:NYUA,,,
148,45323,odp-round-2,improvement,100000,local-authority:PLY,,,
149,45323,odp-round-2,improvement,100000,local-authority:PTE,,,
150,45323,odp-round-2,improvement,100000,local-authority:RCH,,,
151,45323,odp-round-2,improvement,100000,local-authority:ROH,,,
152,45323,odp-round-2,improvement,100000,local-authority:ROS,,,
153,45323,odp-round-2,improvement,100000,local-authority:SAW,,,
154,45323,odp-round-2,improvement,100000,local-authority:SCA,,,
155,45323,odp-round-2,improvement,100000,local-authority:SGC,,,
156,45323,odp-round-2,improvement,100000,local-authority:SNO,local-authority:BRO,,
157,45323,odp-round-2,improvement,100000,local-authority:SPE,,,
158,45323,odp-round-2,improvement,100000,local-authority:SST,,,
159,45323,odp-round-2,improvement,100000,local-authority:SUR,,,
160,45323,odp-round-2,improvement,100000,local-authority:TAN,,,
161,45323,odp-round-2,improvement,100000,local-authority:TEN,,,
162,45323,odp-round-2,improvement,100000,local-authority:TOB,,,
163,45323,odp-round-2,improvement,100000,local-authority:TRF,,,
164,45323,odp-round-2,improvement,100000,local-authority:TWH,,,
165,45323,odp-round-2,improvement,100000,local-authority:WAE,,,
166,45323,odp-round-2,improvement,100000,local-authority:WSM,,,
167,45323,odp-round-2,improvement,100000,local-authority:YOR,,,
168,45323,odp-round-2,improvement,100000,national-park-authority:Q72617158,,,
169,45323,proptech-round-4,innovation,85000,local-authority:BAI,,,
170,45323,proptech-round-4,innovation,206900,local-authority:BRD,local-authority:LDS,,
171,45323,proptech-round-4,innovation,85000,local-authority:CBF,,,
172,45323,proptech-round-4,innovation,224400,local-authority:CHW,local-authority:FOE,,
173,45323,proptech-round-4,innovation,85000,local-authority:CON,,,
174,45323,proptech-round-4,innovation,50000,local-authority:DAC,,,
175,45323,proptech-round-4,innovation,85000,local-authority:DUR,,,
176,45323,proptech-round-4,innovation,73152,local-authority:EHE,,,
177,45323,proptech-round-4,innovation,85000,local-authority:HNS,,,
178,45323,proptech-round-4,innovation,225000,local-authority:HRY,local-authority:BNE,,
179,45323,proptech-round-4,innovation,85000,local-authority:KEC,,,
180,45323,proptech-round-4,innovation,46875,local-authority:LAC,,,
181,45323,proptech-round-4,innovation,76400,local-authority:LBH,,,
182,45323,proptech-round-4,innovation,69000,local-authority:LEW,,,
183,45323,proptech-round-4,innovation,40000,local-authority:NDE,,,
184,45323,proptech-round-4,innovation,225000,local-authority:NED,local-authority:BAE;local-authority:CHS,,
185,45323,proptech-round-4,innovation,84720,local-authority:NET,,,
186,45323,proptech-round-4,innovation,222040,local-authority:NET,local-authority:GAT,,
187,45323,proptech-round-4,innovation,225000,local-authority:NKE,local-authority:LIN;local-authority:WLI,,
188,45323,proptech-round-4,innovation,80000,local-authority:NTY,,,
189,45323,proptech-round-4,innovation,225000,local-authority:PLY,local-authority:SHA;local-authority:WDE,,
190,45323,proptech-round-4,innovation,47000,local-authority:REI,,,
191,45323,proptech-round-4,innovation,225000,local-authority:SCA,local-authority:CAB,,
192,45323,proptech-round-4,innovation,150000,local-authority:SCA,local-authority:CAB,,
193,45323,proptech-round-4,innovation,225000,local-authority:SEV,local-authority:NGM,,
194,45323,proptech-round-4,innovation,77213,local-authority:SLF,,,
195,45323,proptech-round-4,innovation,85000,local-authority:SRY,,,
196,45323,proptech-round-4,innovation,66813,local-authority:STE,,,
197,45323,proptech-round-4,innovation,225000,local-authority:STH,local-authority:LND,,
198,45323,proptech-round-4,innovation,85000,local-authority:SUA,,,
199,45323,proptech-round-4,innovation,82000,local-authority:TAN,,,
200,45323,proptech-round-4,innovation,84610,local-authority:TEI,,,
201,45323,proptech-round-4,innovation,84000,local-authority:THA,,,
202,45323,proptech-round-4,innovation,85000,local-authority:TWH,,,
203,45323,proptech-round-4,innovation,85000,local-authority:WGN,,,
204,45323,proptech-round-4,innovation,95000,local-authority:WOX,,,
205,45323,proptech-round-4,innovation,83000,local-authority:WRL,,,
206,45716,odp-round-3,improvement,50000,local-authority:NWA,,,
207,45716,odp-round-3,improvement,50000,local-authority:EXE,,,
208,45716,odp-round-3,improvement,50000,local-authority:OXO,,,
209,45716,odp-round-3,improvement,50000,local-authority:ADU,,,
210,45716,odp-round-3,improvement,50000,local-authority:BAE,,,
211,45716,odp-round-3,improvement,50000,local-authority:MAI,,,
212,45716,odp-round-3,improvement,50000,local-authority:FOE,,,
213,45716,odp-round-3,improvement,50000,local-authority:STE,,,
214,45716,odp-round-3,improvement,50000,local-authority:ERY,,,
215,45716,odp-round-3,improvement,50000,local-authority:HUN,,,
216,45716,odp-round-3,improvement,50000,local-authority:TAM,,,
217,45716,odp-round-3,improvement,50000,local-authority:BUR,,,
218,45716,odp-round-3,improvement,50000,local-authority:OLD,,,
219,45716,odp-round-3,improvement,50000,local-authority:CLD,,,
220,45716,odp-round-3,improvement,50000,national-park-authority:Q27159704,,,
221,45716,odp-round-3,improvement,50000,local-authority:NTY,,,
222,45716,odp-round-3,improvement,50000,local-authority:UTT,,,
223,45716,odp-round-3,improvement,50000,local-authority:STH,,,
224,45716,odp-round-3,improvement,50000,local-authority:WOX,,,
225,45716,odp-round-3,improvement,50000,local-authority:COL,,,
226,45716,odp-round-3,improvement,50000,local-authority:HAA,,,
227,45716,odp-round-3,improvement,50000,local-authority:CRW,,,
228,45716,odp-round-3,improvement,50000,local-authority:BAN,,,
229,45716,odp-round-3,improvement,50000,local-authority:WOT,,,
230,45716,odp-round-3,improvement,50000,local-authority:CHT,,,
231,45716,odp-round-3,improvement,50000,local-authority:COV,,,
232,45716,odp-round-3,improvement,50000,local-authority:MAN,,,
233,45716,odp-round-3,improvement,50000,local-authority:HIL,,,
234,45716,odp-round-3,improvement,50000,local-authority:COT,,,
235,45716,odp-round-3,improvement,50000,local-authority:HAT,,,
236,45716,odp-round-3,improvement,50000,local-authority:NNO,,,
237,45716,odp-round-3,improvement,50000,local-authority:STA,,,
238,45716,odp-round-3,improvement,50000,local-authority:BNS,,,
239,45716,odp-round-3,improvement,50000,local-authority:CAN,,,
240,45716,odp-round-3,improvement,50000,local-authority:THA,,,
241,45716,odp-round-3,improvement,50000,local-authority:KHL,,,
242,45716,odp-round-3,improvement,50000,local-authority:STV,,,
243,45730,odp-round-3,improvement,50000,local-authority:HAL,,,
244,45730,odp-round-3,improvement,50000,local-authority:KWL,,,
245,45730,odp-round-3,improvement,50000,local-authority:LDS,,,
246,45730,odp-round-3,improvement,50000,local-authority:BRY,,,
247,45730,odp-round-3,improvement,50000,local-authority:SKP,,,
248,45730,odp-round-3,improvement,50000,local-authority:LEW,,,
249,45730,odp-round-3,improvement,50000,local-authority:SFT,,,
250,45730,odp-round-3,improvement,50000,local-authority:IPS,,,
251,45730,odp-round-3,improvement,50000,local-authority:WEA,,,
252,45716,odp-adoption-top-up,software,400000,local-authority:CMD,,,
253,45716,odp-adoption-top-up,software,400000,local-authority:BUC,,,
254,45716,odp-adoption-top-up,software,500000,local-authority:LBH,,,
255,45716,odp-adoption-top-up,software,260000,local-authority:SWK,,,
256,45716,odp-adoption-top-up,software,200000,local-authority:MDW,,,
257,45716,odp-adoption-top-up,software,250000,local-authority:DNC,,,
258,45716,odp-adoption-top-up,software,50000,local-authority:GLO,,,
259,45716,odp-adoption-top-up,software,200000,local-authority:BNE,,,
260,45716,odp-adoption-top-up,software,210000,local-authority:GAT,,,
261,45716,odp-adoption-top-up,software,250000,local-authority:NET,,,
262,45716,odp-adoption-top-up,software,150000,local-authority:TEW,,,
263,45716,odp-software-top-up,software,675000,local-authority:LBH,,,PlanX
264,45716,odp-software-top-up,software,950000,local-authority:BUC,,,BOPS
265,45716,odp-software-top-up,software,1000000,local-authority:CMD,,,Digital Planning Register
266,45716,odp-development-management-software,integration,225000,local-authority:RDB,,,Agile Applications/IEG4 + Planning Portal
267,45716,odp-development-management-software,integration,225000,local-authority:SLF,,,Arcus Global + Planning Portal
268,45716,odp-development-management-software,integration,225000,local-authority:DST,,,DEF + Planning Portal
269,45716,odp-development-management-software,integration,225000,local-authority:LDS,,,Idox + Planning Portal
270,45716,odp-development-management-software,integration,225000,local-authority:HNS,,,NEC + Planning Portal
271,45705,odp-strategic-project,integration,100000,local-authority:GMCA,,,Discovery/Alpha - monitoring and collaboration 
272,45705,odp-strategic-project,integration,200000,local-authority:GLA,,,Discovery/Alpha - monitoring and collaboration 
273,45705,odp-strategic-project,software,300000,local-authority:LBH,,,Building Control - improving the system
274,45705,odp-strategic-project,plan-making,300000,local-authority:LND,,,Digital local plan proof of concept
275,45716,proptech-round-4-continuous-funding,innovation,186200,local-authority:PLY,local-authority:SHA;local-authority:WDE,,Land assessment
276,45716,proptech-round-4-continuous-funding,innovation,101500,local-authority:WOX,local-authority:NGM;local-authority:COT,,Viability and feasibility
277,45716,proptech-round-4-continuous-funding,innovation,200000,local-authority:SCA,local-authority:CAB,,Land assessment
278,45716,proptech-round-4-continuous-funding,innovation,240000,local-authority:NED,local-authority:BAE;local-authority:CHS,,Land assessment
279,45716,proptech-round-4-continuous-funding,innovation,238137,local-authority:NET,local-authority:GAT,,Viability and feasibility
280,45716,proptech-round-4-continuous-funding,innovation,100000,local-authority:CBF,,,Viability and feasibility
281,45716,proptech-round-4-continuous-funding,innovation,146800,local-authority:BAI,,,Land and site assessment
282,45716,proptech-round-4-continuous-funding,innovation,210000,local-authority:NKE,local-authority:LIC;local-authority:WLI,,Visualisation
283,45716,proptech-round-4-continuous-funding,innovation,65000,local-authority:DAC,,,Viability and feasibility
284,45716,proptech-round-4-continuous-funding,innovation,230000,local-authority:BRD,local-authority:NGM,,Visualisation
285,45716,proptech-round-4-continuous-funding,innovation,95000,local-authority:TAN,,,Viability and feasibility
286,45716,proptech-round-4-continuous-funding,innovation,100000,local-authority:EHE,,,Land and site assessment
287,45715,green-belt-reviews,plan-making,70000,local-authority:AMB,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
288,45715,green-belt-reviews,plan-making,70000,local-authority:BNS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
289,45715,green-belt-reviews,plan-making,70000,local-authority:BAI,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
290,45715,green-belt-reviews,plan-making,350000,local-authority:BAS,local-authority:SGC;local-authority:NSM;local-authority:BST;local-authority:SUA,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
291,45715,green-belt-reviews,plan-making,70000,local-authority:BEX,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
292,45715,green-belt-reviews,plan-making,70000,local-authority:BIR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
293,45715,green-belt-reviews,plan-making,70000,local-authority:BPL,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
294,45715,green-belt-reviews,plan-making,70000,local-authority:BOL,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
295,45715,green-belt-reviews,plan-making,70000,local-authority:BRW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
296,45715,green-belt-reviews,plan-making,70000,local-authority:BRY,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
297,45715,green-belt-reviews,plan-making,70000,local-authority:BRM,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
