prefix,prefix-uri,organisation
wikidata,http://www.wikidata.org/entity/,wikidata:Q2013
wikidata-property,http://www.wikidata.org/entity/,wikidata:Q2013
uprn,https://uprn.uk/,public-authority:Q5533909
statistical-geography,http://statistics.data.gov.uk/id/statistical-geography/,government-organisation:D303
site-of-special-scientific-interest,https://designatedsites.naturalengland.org.uk/SiteDetail.aspx?SiteCode=S,government-organisation:PB202
special-protection-area,https://designatedsites.naturalengland.org.uk/SiteDetail.aspx?SiteCode=,government-organisation:PB202
ramsar-site,https://rsis.ramsar.org/ris/,wikidata:Q170170
