organisation,project,provision-reason,specification,dataset
local-authority:ECA,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ECA,design-codes,prospective,design-code,design-code
local-authority:ECA,design-codes,prospective,design-code,design-code-area
local-authority:ECA,design-codes,prospective,design-code,design-code-rule
local-authority:ECA,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ECA,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ECA,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ECA,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ECA,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ECA,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ECA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ECA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EDE,,statutory,brownfield-land,brownfield-land
local-authority:EDE,,encouraged,developer-ageement,developer-agreement
local-authority:EDE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EDE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EDE,design-codes,prospective,design-code,design-code
local-authority:EDE,design-codes,prospective,design-code,design-code-area
local-authority:EDE,design-codes,prospective,design-code,design-code-rule
local-authority:EDE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EDE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EDE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EDE,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EDE,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EDE,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EDE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EDE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EDN,,statutory,brownfield-land,brownfield-land
local-authority:EDN,,encouraged,developer-ageement,developer-agreement
local-authority:EDN,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EDN,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EDN,design-codes,prospective,design-code,design-code
local-authority:EDN,design-codes,prospective,design-code,design-code-area
local-authority:EDN,design-codes,prospective,design-code,design-code-rule
local-authority:EDN,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EDN,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EDN,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EDN,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EDN,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EDN,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EDN,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EDN,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EHA,,statutory,brownfield-land,brownfield-land
local-authority:EHA,,encouraged,developer-ageement,developer-agreement
local-authority:EHA,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EHA,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EHA,design-codes,prospective,design-code,design-code
local-authority:EHA,design-codes,prospective,design-code,design-code-area
local-authority:EHA,design-codes,prospective,design-code,design-code-rule
local-authority:EHA,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EHA,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EHA,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EHA,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EHA,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EHA,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EHA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EHA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EHE,,statutory,brownfield-land,brownfield-land
local-authority:EHE,,encouraged,developer-ageement,developer-agreement
local-authority:EHE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EHE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EHE,design-codes,prospective,design-code,design-code
local-authority:EHE,design-codes,prospective,design-code,design-code-area
local-authority:EHE,design-codes,prospective,design-code,design-code-rule
local-authority:EHE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EHE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EHE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EHE,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EHE,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EHE,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EHE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EHE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ELI,,statutory,brownfield-land,brownfield-land
local-authority:ELI,,encouraged,developer-ageement,developer-agreement
local-authority:ELI,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ELI,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ELI,design-codes,prospective,design-code,design-code
local-authority:ELI,design-codes,prospective,design-code,design-code-area
local-authority:ELI,design-codes,prospective,design-code,design-code-rule
local-authority:ELI,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ELI,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ELI,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ELI,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ELI,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ELI,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ELI,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ELI,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ELM,,statutory,brownfield-land,brownfield-land
local-authority:ELM,,encouraged,developer-ageement,developer-agreement
local-authority:ELM,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ELM,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ELM,design-codes,prospective,design-code,design-code
local-authority:ELM,design-codes,prospective,design-code,design-code-area
local-authority:ELM,design-codes,prospective,design-code,design-code-rule
local-authority:ELM,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ELM,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ELM,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ELM,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ELM,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ELM,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ELM,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ELM,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ENF,,statutory,brownfield-land,brownfield-land
local-authority:ENF,,encouraged,developer-ageement,developer-agreement
local-authority:ENF,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ENF,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ENF,design-codes,prospective,design-code,design-code
local-authority:ENF,design-codes,prospective,design-code,design-code-area
local-authority:ENF,design-codes,prospective,design-code,design-code-rule
local-authority:ENF,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ENF,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ENF,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ENF,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ENF,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ENF,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ENF,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ENF,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ENO,,statutory,brownfield-land,brownfield-land
local-authority:ENO,,encouraged,developer-ageement,developer-agreement
local-authority:ENO,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ENO,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ENO,design-codes,prospective,design-code,design-code
local-authority:ENO,design-codes,prospective,design-code,design-code-area
local-authority:ENO,design-codes,prospective,design-code,design-code-rule
local-authority:ENO,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ENO,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ENO,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ENO,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ENO,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ENO,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ENO,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ENO,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EPP,,statutory,brownfield-land,brownfield-land
local-authority:EPP,,encouraged,developer-ageement,developer-agreement
local-authority:EPP,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EPP,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EPP,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EPP,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EPP,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EPP,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EPP,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EPP,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EPP,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EPP,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EPS,,statutory,brownfield-land,brownfield-land
local-authority:EPS,,encouraged,developer-ageement,developer-agreement
local-authority:EPS,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EPS,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EPS,design-codes,prospective,design-code,design-code
local-authority:EPS,design-codes,prospective,design-code,design-code-area
local-authority:EPS,design-codes,prospective,design-code,design-code-rule
local-authority:EPS,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EPS,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EPS,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EPS,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EPS,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EPS,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EPS,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EPS,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ERE,,statutory,brownfield-land,brownfield-land
local-authority:ERE,,encouraged,developer-ageement,developer-agreement
local-authority:ERE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ERE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ERE,design-codes,prospective,design-code,design-code
local-authority:ERE,design-codes,prospective,design-code,design-code-area
local-authority:ERE,design-codes,prospective,design-code,design-code-rule
local-authority:ERE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ERE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ERE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ERE,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ERE,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ERE,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ERE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ERE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ERY,,statutory,brownfield-land,brownfield-land
local-authority:ERY,,encouraged,developer-ageement,developer-agreement
local-authority:ERY,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ERY,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ERY,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ERY,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ERY,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ERY,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ERY,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ERY,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ERY,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ERY,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:ESK,,statutory,brownfield-land,brownfield-land
local-authority:ESK,,encouraged,developer-ageement,developer-agreement
local-authority:ESK,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:ESK,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:ESK,design-codes,prospective,design-code,design-code
local-authority:ESK,design-codes,prospective,design-code,design-code-area
local-authority:ESK,design-codes,prospective,design-code,design-code-rule
local-authority:ESK,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:ESK,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:ESK,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:ESK,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:ESK,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:ESK,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:ESK,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:ESK,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EST,,statutory,brownfield-land,brownfield-land
local-authority:EST,,encouraged,developer-ageement,developer-agreement
local-authority:EST,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EST,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EST,design-codes,prospective,design-code,design-code
local-authority:EST,design-codes,prospective,design-code,design-code-area
local-authority:EST,design-codes,prospective,design-code,design-code-rule
local-authority:EST,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EST,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EST,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EST,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EST,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EST,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EST,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EST,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:EXE,,statutory,brownfield-land,brownfield-land
local-authority:EXE,,encouraged,developer-ageement,developer-agreement
local-authority:EXE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:EXE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:EXE,design-codes,prospective,design-code,design-code
local-authority:EXE,design-codes,prospective,design-code,design-code-area
local-authority:EXE,design-codes,prospective,design-code,design-code-rule
local-authority:EXE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:EXE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:EXE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:EXE,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:EXE,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:EXE,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:EXE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:EXE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:FAR,,statutory,brownfield-land,brownfield-land
local-authority:FAR,,encouraged,developer-ageement,developer-agreement
local-authority:FAR,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:FAR,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:FAR,design-codes,prospective,design-code,design-code
local-authority:FAR,design-codes,prospective,design-code,design-code-area
local-authority:FAR,design-codes,prospective,design-code,design-code-rule
local-authority:FAR,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:FAR,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:FAR,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:FAR,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:FAR,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:FAR,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:FAR,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:FAR,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:FEN,,statutory,brownfield-land,brownfield-land
local-authority:FEN,,encouraged,developer-ageement,developer-agreement
local-authority:FEN,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:FEN,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:FEN,design-codes,prospective,design-code,design-code
local-authority:FEN,design-codes,prospective,design-code,design-code-area
local-authority:FEN,design-codes,prospective,design-code,design-code-rule
local-authority:FEN,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:FEN,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:FEN,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:FEN,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:FEN,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:FEN,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:FEN,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:FEN,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:FOE,,statutory,brownfield-land,brownfield-land
local-authority:FOE,,encouraged,developer-ageement,developer-agreement
local-authority:FOE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:FOE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:FOE,design-codes,prospective,design-code,design-code
local-authority:FOE,design-codes,prospective,design-code,design-code-area
local-authority:FOE,design-codes,prospective,design-code,design-code-rule
local-authority:FOE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:FOE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:FOE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:FOE,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:FOE,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:FOE,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:FOE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:FOE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:FYL,,statutory,brownfield-land,brownfield-land
local-authority:FYL,,encouraged,developer-ageement,developer-agreement
local-authority:FYL,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:FYL,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:FYL,design-codes,prospective,design-code,design-code
local-authority:FYL,design-codes,prospective,design-code,design-code-area
local-authority:FYL,design-codes,prospective,design-code,design-code-rule
local-authority:FYL,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:FYL,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:FYL,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:FYL,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:FYL,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:FYL,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:FYL,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:FYL,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GAT,,statutory,brownfield-land,brownfield-land
local-authority:GAT,,encouraged,developer-ageement,developer-agreement
local-authority:GAT,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GAT,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GAT,design-codes,prospective,design-code,design-code
local-authority:GAT,design-codes,prospective,design-code,design-code-area
local-authority:GAT,design-codes,prospective,design-code,design-code-rule
local-authority:GAT,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GAT,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GAT,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GAT,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GAT,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GAT,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GAT,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GAT,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GED,,statutory,brownfield-land,brownfield-land
local-authority:GED,,encouraged,developer-ageement,developer-agreement
local-authority:GED,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GED,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GED,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GED,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GED,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GED,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GED,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GED,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GED,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GED,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GLO,,statutory,brownfield-land,brownfield-land
local-authority:GLO,,encouraged,developer-ageement,developer-agreement
local-authority:GLO,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GLO,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GLO,design-codes,prospective,design-code,design-code
local-authority:GLO,design-codes,prospective,design-code,design-code-area
local-authority:GLO,design-codes,prospective,design-code,design-code-rule
local-authority:GOS,,statutory,brownfield-land,brownfield-land
local-authority:GOS,,encouraged,developer-ageement,developer-agreement
local-authority:GOS,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GOS,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GOS,design-codes,prospective,design-code,design-code
local-authority:GOS,design-codes,prospective,design-code,design-code-area
local-authority:GOS,design-codes,prospective,design-code,design-code-rule
local-authority:GOS,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GOS,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GOS,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GOS,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GOS,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GOS,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GOS,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GOS,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GRA,,statutory,brownfield-land,brownfield-land
local-authority:GRA,,encouraged,developer-ageement,developer-agreement
local-authority:GRA,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GRA,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GRA,design-codes,prospective,design-code,design-code
local-authority:GRA,design-codes,prospective,design-code,design-code-area
local-authority:GRA,design-codes,prospective,design-code,design-code-rule
local-authority:GRA,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GRA,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GRA,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GRA,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GRA,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GRA,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GRA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GRA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GRE,,statutory,brownfield-land,brownfield-land
local-authority:GRE,,encouraged,developer-ageement,developer-agreement
local-authority:GRE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GRE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GRE,design-codes,prospective,design-code,design-code
local-authority:GRE,design-codes,prospective,design-code,design-code-area
local-authority:GRE,design-codes,prospective,design-code,design-code-rule
local-authority:GRE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GRE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GRE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GRE,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GRE,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GRE,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GRE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GRE,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GRT,,statutory,brownfield-land,brownfield-land
local-authority:GRT,,encouraged,developer-ageement,developer-agreement
local-authority:GRT,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GRT,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GRT,design-codes,prospective,design-code,design-code
local-authority:GRT,design-codes,prospective,design-code,design-code-area
local-authority:GRT,design-codes,prospective,design-code,design-code-rule
local-authority:GRT,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GRT,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GRT,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GRT,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GRT,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GRT,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GRT,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GRT,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:GRY,,statutory,brownfield-land,brownfield-land
local-authority:GRY,,encouraged,developer-ageement,developer-agreement
local-authority:GRY,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:GRY,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:GRY,design-codes,prospective,design-code,design-code
local-authority:GRY,design-codes,prospective,design-code,design-code-area
local-authority:GRY,design-codes,prospective,design-code,design-code-rule
local-authority:GRY,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:GRY,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:GRY,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:GRY,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:GRY,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:GRY,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:GRY,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:GRY,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:HAA,,statutory,brownfield-land,brownfield-land
local-authority:HAA,,encouraged,developer-ageement,developer-agreement
local-authority:HAA,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:HAA,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:HAA,design-codes,prospective,design-code,design-code
local-authority:HAA,design-codes,prospective,design-code,design-code-area
local-authority:HAA,design-codes,prospective,design-code,design-code-rule
local-authority:HAA,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:HAA,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:HAA,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:HAA,open-digital-planning,prospective,conservation-area,conservation-area-document
local-authority:HAA,open-digital-planning,prospective,listed-building,listed-building-outline
local-authority:HAA,open-digital-planning,prospective,tree-preservation-order,tree
local-authority:HAA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-order
local-authority:HAA,open-digital-planning,prospective,tree-preservation-order,tree-preservation-zone
local-authority:HAE,,statutory,brownfield-land,brownfield-land
local-authority:HAE,,encouraged,developer-ageement,developer-agreement
local-authority:HAE,,encouraged,developer-ageement,developer-agreement-contribution
local-authority:HAE,,encouraged,developer-ageement,developer-agreement-transaction
local-authority:HAE,design-codes,prospective,design-code,design-code
local-authority:HAE,design-codes,prospective,design-code,design-code-area
local-authority:HAE,design-codes,prospective,design-code,design-code-rule
local-authority:HAE,open-digital-planning,prospective,article-4-direction,article-4-direction
local-authority:HAE,open-digital-planning,prospective,article-4-direction,article-4-direction-area
local-authority:HAE,open-digital-planning,prospective,conservation-area,conservation-area
local-authority:HAE,open-digital-planning,prospective,conservation-area,conservation-area-document
