description,documentation-url,end-date,entry-date,name,phase,prefix,provision-guidance,reference,specifications,summary,templates,start-date
,https://www.gov.uk/government/publications/brownfield-land-registers-data-standard/publish-your-brownfield-land-data,,2025-11-01,Publish your brownfield land data,live,,"[The Town and Country Planning (Brownfield Land Register) Regulations 2017](http://www.legislation.gov.uk/uksi/2017/403/contents/made) requires local planning authorities to maintain a register of brownfield sites suitable for housing.
",brownfield-land-2017,brownfield-land,"When updating your brownfield land register, follow this guidance on how to format, label and publish the data.",['govuk-guidance-2017'],
,https://www.gov.uk/TBD,,2025-11-06,Publish your local plans data,live,,"Providing this data is optional, but enables a Local Planning Authority to improve data on the [Planning Data](https://planning.data.gov.uk) platform.
",local-plans-2025,local-plan,"Follow this guidance on how to format, label and publish data about your local plan, housing numbers and its timetable.",['govuk-guidance-2017'],
