prefix,name,plural,uri,wikidata,wikipedia
internal-drainage-board,Internal drainage board,Internal drainage boards,,Q6047836,https://en.wikipedia.org/wiki/Internal_drainage_board
national-park-authority,National park authority,National park authorities,,Q3336962,https://en.wikipedia.org/wiki/National_park_authority
local-authority-eng,Local authority,Local authorities,,Q171634,https://en.wikipedia.org/wiki/Local_government_in_England
ancient-woodland,Ancient woodland,Ancient woodlands,,Q3078732,https://en.wikipedia.org/wiki/Ancient_woodland
area-of-outstanding-natural-beauty,Area of outstanding natural beauty,Areas of outstanding natural beauty,,Q174945,https://en.wikipedia.org/wiki/Area_of_Outstanding_Natural_Beauty
brownfield-land,Brownfield land,Brownfield land,,Q896586,https://en.wikipedia.org/wiki/Brownfield_land
brownfield-site,Brownfield site,Brownfield sites,,Q896586,https://en.wikipedia.org/wiki/Brownfield_land
conservation-area,Conservation area,Conservation areas,,Q5162904,https://en.wikipedia.org/wiki/Conservation_area_(United_Kingdom)
development-plan-document,Development plan document,Development plan documents,,Q5266783,https://en.wikipedia.org/wiki/Development_plan
development-plan-type,Development plan type,Development plan types,,,
development-policy,Development policy,Development policies,,,
development-policy-category,Development policy category,Development policy categories,,,
document,Document,Documents,,,
organisation,Organisation,Organisations,,,
document-type,Document type,Document types,,,
green-belt,Green belt,Green belt,,Q2734873,https://en.wikipedia.org/wiki/Green_belt_(United_Kingdom)
heritage-coast,Heritage coast,Heritage coast,,Q13125592,https://en.wikipedia.org/wiki/Heritage_coast
battlefield,Battlefield,Battlefields,,Q4895508,https://en.wikipedia.org/wiki/Battlefield
building-preservation-notice,Building preservation notice,Building preservation notices,,Q98785867,https://en.wikipedia.org/wiki/Listed_building#England_and_Wales
certificate-of-immunity,Certificate of immunity,,,Q5065092,https://en.wikipedia.org/wiki/Certificate_of_Immunity_from_Listing
heritage-at-risk,Heritage at risk,,,,
listed-building,Listed building,,,,
park-and-garden,Park and garden,,,,
protected-wreck-site,Protected wreck site,,,,
scheduled-monument,Scheduled monument,,,,
world-heritage-site,World heritage site,,,,
local-authority-district,Local authority district,,,,
ownership-status,Ownership status,,,,
parish,Parish,,,,
planning-permission-status,Planning permission status,,,,
planning-permission-type,Planning permission type,,,,
ramsar,Ramsar,,,,
site-category,Site category,,,,
site-of-special-scientific-interest,Site of special scientific interest,,,,
special-area-of-conservation,Special area of conservation,,,,
