dataset,field,field-dataset,guidance,hint,version
address,address,,,,1
address,address-text,,,,1
address,end-date,,,,1
address,entity,,,,1
address,entry-date,,,,1
address,latitude,,,,1
address,longitude,,,,1
address,name,,,,1
address,notes,,,,1
address,prefix,,,,1
address,reference,,,,1
address,start-date,,,,1
ancient-woodland-status,description,,,,1
ancient-woodland-status,documentation-url,,,,1
ancient-woodland-status,end-date,,,,1
ancient-woodland-status,entity,,,,1
ancient-woodland-status,entry-date,,,,1
ancient-woodland-status,name,,,,1
ancient-woodland-status,notes,,,,1
ancient-woodland-status,prefix,,,,1
ancient-woodland-status,reference,,,,1
ancient-woodland-status,start-date,,,,1
ancient-woodland,ancient-woodland,,,,1
ancient-woodland,ancient-woodland-status,,,,1
ancient-woodland,documentation-url,,,,1
ancient-woodland,end-date,,,,1
ancient-woodland,entity,,,,1
ancient-woodland,entry-date,,,,1
ancient-woodland,geometry,,,,1
ancient-woodland,name,,,,1
ancient-woodland,notes,,,,1
ancient-woodland,organisation,,,,1
ancient-woodland,point,,,,1
ancient-woodland,prefix,,,,1
ancient-woodland,reference,,,,1
ancient-woodland,start-date,,,,1
area-of-outstanding-natural-beauty,document-url,,,,1
area-of-outstanding-natural-beauty,documentation-url,,,,1
area-of-outstanding-natural-beauty,end-date,,,,1
area-of-outstanding-natural-beauty,entity,,,,1
area-of-outstanding-natural-beauty,entry-date,,,,1
area-of-outstanding-natural-beauty,geography,,,,1
area-of-outstanding-natural-beauty,geometry,,,,1
area-of-outstanding-natural-beauty,legislation,,,,1
area-of-outstanding-natural-beauty,name,,,,1
area-of-outstanding-natural-beauty,notes,,,,1
area-of-outstanding-natural-beauty,organisation,,,,1
area-of-outstanding-natural-beauty,point,,,,1
area-of-outstanding-natural-beauty,prefix,,,,1
area-of-outstanding-natural-beauty,reference,,,,1
area-of-outstanding-natural-beauty,start-date,,,,1
area-of-outstanding-natural-beauty,twitter,,,,1
area-of-outstanding-natural-beauty,website,,,,1
area-of-outstanding-natural-beauty,wikidata,,,,1
area-of-outstanding-natural-beauty,wikipedia,,,,1
article-4-direction-area,address-text,,,,1
article-4-direction-area,article-4-direction,,,,1
article-4-direction-area,article-4-direction-rules,,,,1
article-4-direction-area,description,,,,1
article-4-direction-area,document-url,,,,1
article-4-direction-area,documentation-url,,,,1
article-4-direction-area,end-date,,,,1
article-4-direction-area,entity,,,,1
article-4-direction-area,entry-date,,,,1
article-4-direction-area,geometry,,,,1
article-4-direction-area,name,,,,1
article-4-direction-area,notes,,,,1
article-4-direction-area,organisation,,,,1
article-4-direction-area,point,,,,1
article-4-direction-area,prefix,,,,1
article-4-direction-area,reference,,,,1
article-4-direction-area,start-date,,,,1
article-4-direction-area,uprn,,,,1
article-4-direction-rule,description,,,,1
article-4-direction-rule,document-url,,,,1
article-4-direction-rule,documentation-url,,,,1
article-4-direction-rule,end-date,,,,1
article-4-direction-rule,entity,,,,1
article-4-direction-rule,entry-date,,,,1
article-4-direction-rule,name,,,,1
article-4-direction-rule,notes,,,,1
article-4-direction-rule,organisation,,,,1
article-4-direction-rule,parent-article-4-direction-rule,,,,1
article-4-direction-rule,prefix,,,,1
article-4-direction-rule,reference,,,,1
article-4-direction-rule,start-date,,,,1
article-4-direction,description,,,,1
article-4-direction,document-url,,,,1
article-4-direction,documentation-url,,,,1
article-4-direction,end-date,,,,1
article-4-direction,entity,,,,1
article-4-direction,entry-date,,,,1
article-4-direction,name,,,,1
article-4-direction,notes,,,,1
article-4-direction,organisation,,,,1
article-4-direction,prefix,,,,1
article-4-direction,reference,,,,1
article-4-direction,start-date,,,,1
asset-of-community-value,asset-of-community-value,,,,1
asset-of-community-value,categories,,,,1
asset-of-community-value,documentation-url,,,,1
asset-of-community-value,end-date,,,,1
asset-of-community-value,entity,,,,1
asset-of-community-value,entry-date,,,,1
asset-of-community-value,geography,,,,1
asset-of-community-value,geometry,,,,1
asset-of-community-value,legislation,,,,1
asset-of-community-value,name,,,,1
asset-of-community-value,notes,,,,1
asset-of-community-value,organisation,,,,1
asset-of-community-value,point,,,,1
asset-of-community-value,prefix,,,,1
asset-of-community-value,reference,,,,1
asset-of-community-value,start-date,,,,1
attribution,attribution,,,,1
attribution,end-date,,,,1
attribution,entity,,,,1
attribution,entry-date,,,,1
attribution,start-date,,,,1
attribution,text,,,,1
battlefield,document-url,,,,1
battlefield,documentation-url,,,,1
battlefield,end-date,,,,1
battlefield,entity,,,,1
battlefield,entry-date,,,,1
battlefield,geometry,,,,1
battlefield,name,,,,1
battlefield,notes,,,,1
battlefield,organisation,,,,1
battlefield,point,,,,1
battlefield,prefix,,,,1
battlefield,reference,,,,1
battlefield,start-date,,,,1
battlefield,wikidata,,,,1
battlefield,wikipedia,,,,1
best-and-most-versatile-agricultural-land,best-and-most-versatile-agricultural-land,,,,1
best-and-most-versatile-agricultural-land,categories,,,,1
best-and-most-versatile-agricultural-land,documentation-url,,,,1
best-and-most-versatile-agricultural-land,end-date,,,,1
best-and-most-versatile-agricultural-land,entity,,,,1
best-and-most-versatile-agricultural-land,entry-date,,,,1
best-and-most-versatile-agricultural-land,geography,,,,1
best-and-most-versatile-agricultural-land,geometry,,,,1
best-and-most-versatile-agricultural-land,legislation,,,,1
best-and-most-versatile-agricultural-land,name,,,,1
best-and-most-versatile-agricultural-land,notes,,,,1
best-and-most-versatile-agricultural-land,organisation,,,,1
best-and-most-versatile-agricultural-land,point,,,,1
best-and-most-versatile-agricultural-land,prefix,,,,1
best-and-most-versatile-agricultural-land,reference,,,,1
best-and-most-versatile-agricultural-land,start-date,,,,1
biodiversity-net-gain-assessment,description,,,,1
biodiversity-net-gain-assessment,document,,,,1
biodiversity-net-gain-assessment,document-types,,,,1
biodiversity-net-gain-assessment,document-url,,,,1
biodiversity-net-gain-assessment,end-date,,,,1
biodiversity-net-gain-assessment,entity,,,,1
biodiversity-net-gain-assessment,entry-date,,,,1
biodiversity-net-gain-assessment,geographies,,,,1
biodiversity-net-gain-assessment,name,,,,1
biodiversity-net-gain-assessment,notes,,,,1
biodiversity-net-gain-assessment,organisations,,,,1
biodiversity-net-gain-assessment,planning-application,,,,1
biodiversity-net-gain-assessment,prefix,,,,1
biodiversity-net-gain-assessment,reference,,,,1
biodiversity-net-gain-assessment,start-date,,,,1
brownfield-land,Deliverable,,Enter ‘yes’ if there is a reasonable prospect that residential development will take place on the land within 5 years of the date you enter this site in the register. Otherwise leave this field blank.,,1
brownfield-land,EndDate,,"If the site no longer needs to be listed (for example, if the site has been built on), it should remain on the register for historical reasons and not be deleted. Enter the date the site was developed or determined to no longer be brownfield land, in the format YYYY-MM-DD. This field should only be filled in once the site is no longer classified as brownfield land.",,1
brownfield-land,FirstAddedDate,,"Enter the date that the site was first added to this register, in the format YYYY-MM-DD.",,1
brownfield-land,GeoX,,"Enter the longitude of a point close to the centre of the site. The value should be 6 or fewer decimal places, using the WGS84 or ETRS89 coordinate systems specified by the [open standards for government guidance](https://www.gov.uk/government/publications/open-standards-for-government/exchange-of-location-point). $CTA Be sure you do not mix up the latitude (Geo Y) and longitude (Geo X) values. Any location in the UK will have a latitude (Geo Y) from about 49 to 57 and a longitude (Geo X) from about -7 to 2. $CTA",,1
