role,organisation,entry-date,start-date,end-date
waste-planning-authority,local-authority:LUT,,1905-06-19,
waste-planning-authority,local-authority:MDB,,1905-06-18,
waste-planning-authority,local-authority:MDW,,1998-04-01,
waste-planning-authority,local-authority:MIK,,1905-06-19,
waste-planning-authority,local-authority:NBL,,2009-04-01,
waste-planning-authority,local-authority:NEL,,1996-04-01,
waste-planning-authority,local-authority:NFK,,,
waste-planning-authority,local-authority:NGM,,1905-06-20,
waste-planning-authority,local-authority:NLN,,1996-04-01,
waste-planning-authority,local-authority:NNUA,,2020-04-01,
waste-planning-authority,local-authority:NSM,,1996-04-01,
waste-planning-authority,local-authority:NTH,,1974-04-01,2021-03-31
waste-planning-authority,local-authority:NTT,,1937-01-01,
waste-planning-authority,local-authority:NYK,,,2023-03-31
waste-planning-authority,local-authority:NYUA,,2023-04-01,
waste-planning-authority,local-authority:OXF,,,
waste-planning-authority,local-authority:PLY,,1998-04-01,
waste-planning-authority,local-authority:POL,,1997-04-01,2019-03-31
waste-planning-authority,local-authority:POR,,1905-06-20,
waste-planning-authority,local-authority:PTE,,1905-06-20,
waste-planning-authority,local-authority:RCC,,1996-04-01,
waste-planning-authority,local-authority:RDG,,1905-05-27,
waste-planning-authority,local-authority:RUT,,1997-04-01,
waste-planning-authority,local-authority:SFK,,,
waste-planning-authority,local-authority:SGC,,1905-06-18,
waste-planning-authority,local-authority:SHR,,2009-04-01,
waste-planning-authority,local-authority:SLG,,1998-04-01,
waste-planning-authority,local-authority:SOM,,,2023-03-31
waste-planning-authority,local-authority:SOS,,1905-06-20,
waste-planning-authority,local-authority:SRY,,,
waste-planning-authority,local-authority:STE,,1905-06-20,
waste-planning-authority,local-authority:STH,,1905-06-19,
waste-planning-authority,local-authority:STS,,,
waste-planning-authority,local-authority:STT,,1905-06-18,
waste-planning-authority,local-authority:SUA,,2023-04-01,
waste-planning-authority,local-authority:SWD,,1905-06-20,
waste-planning-authority,local-authority:TFW,,1905-06-20,
waste-planning-authority,local-authority:THR,,1905-06-20,
waste-planning-authority,local-authority:TOB,,1905-06-20,
waste-planning-authority,local-authority:WAR,,,
waste-planning-authority,local-authority:WBK,,1905-06-20,
waste-planning-authority,local-authority:WFUA,,2023-04-01,
waste-planning-authority,local-authority:WIL,,2009-04-01,
waste-planning-authority,local-authority:WNM,,1905-06-20,
waste-planning-authority,local-authority:WNUA,,2020-04-01,
waste-planning-authority,local-authority:WOK,,1905-06-20,
waste-planning-authority,local-authority:WOR,,,
waste-planning-authority,local-authority:WRT,,1905-06-20,
waste-planning-authority,local-authority:WSX,,,
waste-planning-authority,local-authority:YOR,,1905-06-18,
waste-planning-authority,national-park-authority:Q20198711,,,
waste-planning-authority,national-park-authority:Q27159704,,,
waste-planning-authority,national-park-authority:Q27178932,,,
waste-planning-authority,national-park-authority:Q4972284,,1978-01-01,
waste-planning-authority,national-park-authority:Q5225646,,,
waste-planning-authority,national-park-authority:Q72617158,,,
waste-planning-authority,national-park-authority:Q72617669,,,
waste-planning-authority,national-park-authority:Q72617784,,,
waste-planning-authority,national-park-authority:Q72617890,,,
waste-planning-authority,national-park-authority:Q72617988,,,
waste-planning-authority,waste-authority:Q20711950,,1986-01-01,
waste-planning-authority,waste-authority:Q20713477,,1986-01-01,
waste-planning-authority,waste-authority:Q21921612,,1986-01-01,
waste-planning-authority,waste-authority:Q21935501,,,
waste-planning-authority,waste-authority:Q5600652,,1986-01-01,2018-04-01
