project,organisation,cohort,start-date,end-date,notes
local-land-charges,local-authority:SCE,,2021-11-29,,
local-land-charges,local-authority:SFT,,2023-01-16,,
local-land-charges,local-authority:SEL,,2023-03-14,,
local-land-charges,local-authority:SEV,,2021-04-28,,
local-land-charges,local-authority:SOL,,2022-04-25,,
local-land-charges,local-authority:SGC,,2024-07-01,,
local-land-charges,local-authority:SHA,,2025-04-15,,
local-land-charges,local-authority:SKE,,2025-04-23,,
local-land-charges,local-authority:SNO,,2022-06-22,,
local-land-charges,local-authority:SST,,2022-08-11,,
local-land-charges,local-authority:SWK,,2025-07-14,,
local-land-charges,local-authority:SPE,,2021-04-23,,
local-land-charges,local-authority:SHN,,2026-01-28,,
local-land-charges,local-authority:SKP,,2023-01-26,,
local-land-charges,local-authority:STT,,2021-04-07,,
local-land-charges,local-authority:STR,,2021-05-10,,
local-land-charges,local-authority:STO,,2025-10-17,,
local-land-charges,local-authority:STN,,2022-01-07,,
local-land-charges,local-authority:TAM,,2021-10-18,,
local-land-charges,local-authority:TAN,,2025-04-28,,
local-land-charges,local-authority:TEW,,2025-05-22,,
local-land-charges,local-authority:THE,,2025-04-28,,
local-land-charges,local-authority:THR,,2025-04-15,,
local-land-charges,local-authority:TON,,2024-04-25,,
local-land-charges,local-authority:TOR,,2025-03-04,,
local-land-charges,local-authority:TRF,,2023-04-24,,
local-land-charges,local-authority:UTT,,2025-04-23,,
local-land-charges,local-authority:WKF,,2024-04-22,,
local-land-charges,local-authority:WAW,,2018-07-11,,
local-land-charges,local-authority:WAT,,2020-02-06,,
local-land-charges,local-authority:WEA,,2025-10-09,,
local-land-charges,local-authority:WEW,,2021-05-26,,
local-land-charges,local-authority:WBK,,2024-04-25,,
local-land-charges,local-authority:WDE,,2025-04-15,,
local-land-charges,local-authority:WLI,,2023-04-18,,
local-land-charges,local-authority:WOX,,2023-04-13,,
local-land-charges,local-authority:WSK,,2022-07-21,,
local-land-charges,local-authority:WGN,,2024-04-24,,
local-land-charges,local-authority:WOI,,2024-03-21,,
local-land-charges,local-authority:WOC,,2025-02-10,,
local-land-charges,local-authority:WYC,,2025-05-12,,
local-land-charges,local-authority:WYR,,2025-12-19,,
local-land-charges,local-authority:WYE,,2024-04-19,,
local-land-charges,local-authority:YOR,,2025-04-28,,
localgov-drupal,local-authority:BAS,LGD-Subscriber,,,
localgov-drupal,local-authority:BBD,LGD-Subscriber,,,
localgov-drupal,local-authority:BRC,LGD-Subscriber,,,
localgov-drupal,local-authority:BNH,LGD-Subscriber,,,
localgov-drupal,local-authority:COL,LGD-Subscriber,,,
localgov-drupal,local-authority:CRY,LGD-Subscriber,,,
localgov-drupal,local-authority:CUA,LGD-Subscriber,,,
localgov-drupal,local-authority:ELM,LGD-Subscriber,,,
localgov-drupal,local-authority:EPP,LGD-Subscriber,,,
localgov-drupal,local-authority:ESS,LGD-Subscriber,,,
localgov-drupal,local-authority:GRE,LGD-Subscriber,,,
localgov-drupal,local-authority:HMF,LGD-Subscriber,,,
localgov-drupal,local-authority:HRY,LGD-Subscriber,,,
localgov-drupal,local-authority:HAT,LGD-Subscriber,,,
localgov-drupal,local-authority:ISL,LGD-Subscriber,,,
localgov-drupal,local-authority:KTT,LGD-Subscriber,,,
localgov-drupal,local-authority:KWL,LGD-Subscriber,,,
localgov-drupal,local-authority:LDS,LGD-Subscriber,,,
localgov-drupal,local-authority:NET,LGD-Subscriber,,,
localgov-drupal,local-authority:NDE,LGD-Subscriber,,,
localgov-drupal,local-authority:NKE,LGD-Subscriber,,,
localgov-drupal,local-authority:NBL,LGD-Subscriber,,,
localgov-drupal,local-authority:NOW,LGD-Subscriber,,,
localgov-drupal,local-authority:SHA,LGD-Subscriber,,,
localgov-drupal,local-authority:SKE,LGD-Subscriber,,,
localgov-drupal,local-authority:SWK,LGD-Subscriber,,,
localgov-drupal,local-authority:TAW,LGD-Subscriber,,,
localgov-drupal,local-authority:TRF,LGD-Subscriber,,,
localgov-drupal,local-authority:WLL,LGD-Subscriber,,,
localgov-drupal,local-authority:WDE,LGD-Subscriber,,,
localgov-drupal,local-authority:WLI,LGD-Subscriber,,,
localgov-drupal,local-authority:WFUA,LGD-Subscriber,,,
localgov-drupal,local-authority:WRL,LGD-Subscriber,,,
localgov-drupal,local-authority:WOI,LGD-Subscriber,,,
localgov-drupal,local-authority:BDG,LGD-Contributor,,,
localgov-drupal,local-authority:BDF,LGD-Contributor,,,
localgov-drupal,local-authority:CAT,LGD-Contributor,,,
localgov-drupal,local-authority:EHA,LGD-Contributor,,,
localgov-drupal,local-authority:IPS,LGD-Contributor,,,
localgov-drupal,local-authority:IOS,LGD-Contributor,,,
localgov-drupal,local-authority:KEC,LGD-Contributor,,,
localgov-drupal,local-authority:LBH,LGD-Contributor,,,
localgov-drupal,local-authority:LCE,LGD-Contributor,,,
localgov-drupal,local-authority:LUT,LGD-Contributor,,,
localgov-drupal,local-authority:MIK,LGD-Contributor,,,
localgov-drupal,local-authority:POR,LGD-Contributor,,,
localgov-drupal,local-authority:RCC,LGD-Contributor,,,
localgov-drupal,local-authority:RUT,LGD-Contributor,,,
localgov-drupal,local-authority:SHF,LGD-Contributor,,,
localgov-drupal,local-authority:SST,LGD-Contributor,,,
localgov-drupal,local-authority:SOL,LGD-Contributor,,,
localgov-drupal,local-authority:WFT,LGD-Contributor,,,
localgov-drupal,local-authority:WSM,LGD-Contributor,,,
localgov-drupal,local-authority:WFUA,LGD-Contributor,,,
localgov-drupal,local-authority:WOK,LGD-Contributor,,,
open-digital-planning,local-authority:SWK,BOPS-Discovery,2018-12-01,,
open-digital-planning,local-authority:HCK,BOPS-Discovery,2018-12-01,,
open-digital-planning,local-authority:GLA,BOPS-Discovery,2018-12-01,,
open-digital-planning,local-authority:COV,BOPS-Alpha,2018-12-07,,
open-digital-planning,local-authority:CRY,BOPS-Alpha,2018-12-07,,
open-digital-planning,local-authority:LBH,RIPA-Alpha,2019-10-31,,
open-digital-planning,local-authority:WYO,RIPA-Alpha,2019-10-31,2020-03-31,
open-digital-planning,local-authority:CMD,RIPA-Alpha,2019-10-31,,
open-digital-planning,local-authority:LEW,RIPA-Alpha,2019-10-31,,
open-digital-planning,local-authority:BUC,BOPS-Beta,2020-03-01,,
open-digital-planning,local-authority:NBL,BOPS-Beta,2020-03-01,,
open-digital-planning,local-authority:BAN,RIPA-BOPS,2022-01-21,,Exploring ways customers can interact with live spatial geographic information system (GIS) data rather than static documents.
open-digital-planning,local-authority:COL,RIPA-BOPS,2022-01-21,,Exploring ways customers can interact with live spatial geographic information system (GIS) data rather than static documents.
open-digital-planning,local-authority:HAV,RIPA-BOPS,2022-01-21,,"Exploring full integration of pre-application advice requests, payments and bookings with Development Management software and the connection of Management Information and SMS notification software to improve customer experience, disjointed business processes, and outdated reporting practices."
open-digital-planning,local-authority:HRW,RIPA-BOPS,2022-01-21,,Ensuring that information submitted in the comment webform is automatically loaded into the relevant system so that the time taken to process consultee comments can be reduced.
open-digital-planning,local-authority:NDE,RIPA-BOPS,2022-01-21,,"Exploring and linking of all SQL data and intelligence to address the problem of data duplication. This will improve efficiency by decreasing duplication, progress reporting, and ensure the council has a robust corporate database and can provide an improved service to users."
open-digital-planning,local-authority:NGM,RIPA-BOPS,2022-01-21,,Deriving more value from planning data through efficient and effective data publishing processes to improve reporting.
open-digital-planning,local-authority:SEV,RIPA-BOPS,2022-01-21,,"Exploring and implementing solutions to improve access to Tree Preservation Order information, and submitting applications to carry out works to protected trees and notifications of works to trees in Conservation Areas."
open-digital-planning,local-authority:TEW,RIPA-BOPS,2022-01-21,,"Exploring an open and standard way of exposing planning application data to provide progress updates to service users via a tracker, to address their concerns about a lack of information on progress or timescales for determining a planning application."
open-digital-planning,local-authority:DAC,RIPA-BOPS,2022-01-21,,
open-digital-planning,local-authority:DNC,RIPA-BOPS,2022-01-21,,
open-digital-planning,local-authority:GLO,RIPA-BOPS,2022-01-21,,
open-digital-planning,local-authority:MDW,RIPA-BOPS,2022-01-21,,
open-digital-planning,local-authority:NET,RIPA-BOPS,2022-01-21,,
open-digital-planning,local-authority:BIR,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:BNE,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:CAT,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:EPS,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:GAT,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:DOV,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:DST,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:GRY,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:KTT,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:LIV,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:NLN,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:NSM,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:RDB,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:SAL,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:SLF,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:WBK,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:WFT,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:WRL,psif-Track3,2023-03-01,,
open-digital-planning,local-authority:ASF,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:BAI,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:BDG,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:BOL,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:BST,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:CAS,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:CBF,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:ECA,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:EHA,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:EHE,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:ENF,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:HNS,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:HOR,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:HRY,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:KEC,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:LCE,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:LND,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:MIK,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:NEW,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:NYUA,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:PLY,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:PTE,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:RCH,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:ROH,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:ROS,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SAW,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SCA,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SGC,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SNO,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:BRO,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SPE,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SST,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:SUR,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:TAN,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:TEN,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:TOB,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:TRF,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:TWH,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:WAE,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:WSM,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:YOR,dpif-round-2,2024-02-01,,
open-digital-planning,national-park-authority:Q72617158,dpif-round-2,2024-02-01,,
open-digital-planning,local-authority:BRD,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:LDS,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:CHW,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:FOE,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:CON,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:DUR,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:LAC,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:NED,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:BAE,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:CHS,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:NKE,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:LIC,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:WLI,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:NTY,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:SHA,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:WDE,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:REI,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:CAB,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:SRY,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:STE,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:STH,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:SUA,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:TEI,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:THA,proptech-round-4,2024-02-01,,actual amount on Section 31 form
open-digital-planning,local-authority:WGN,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:WOX,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:COT,proptech-round-4,2024-02-01,,
open-digital-planning,local-authority:GMCA,strategic-project,2025-01-20,,Discovery/Alpha - monitoring and collaboration 
open-digital-planning,local-authority:NWA,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:EXE,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:OXO,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:ADU,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:MAI,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:ERY,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:HUN,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:TAM,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:BUR,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:OLD,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:CLD,dpif-round-3,2025-03-18,,
open-digital-planning,national-park-authority:Q27159704,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:UTT,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:HAA,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:CRW,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:WOT,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:CHT,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:MAN,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:HIL,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:HAT,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:NNO,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:STA,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:BNS,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:CAN,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:KHL,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:STV,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:HAL,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:KWL,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:BRY,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:SKP,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:SFT,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:IPS,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:WEA,dpif-round-3,2025-03-18,,
open-digital-planning,local-authority:BPL,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:BRA,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:BNH,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:CHL,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:HEF,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:DAR,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:DER,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:FEN,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:GED,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:HAR,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:KIN,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:BEX,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:BEN,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:MAV,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:ROT,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:SWL,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:WFUA,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:WIL,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:WOC,dpif-round-4.1,2025-09-28,,
open-digital-planning,local-authority:WYC,dpif-round-4.1,2025-09-28,,
