project,organisation,cohort,start-date,end-date,notes
local-land-charges,local-authority:ASH,,2025-08-01,,
local-land-charges,local-authority:BAB,,2022-01-20,,
local-land-charges,local-authority:BAE,,2023-09-21,,
local-land-charges,local-authority:BAS,,2026-01-16,,
local-land-charges,local-authority:BDF,,2024-03-18,,
local-land-charges,local-authority:BLA,,2023-10-16,,
local-land-charges,local-authority:BBD,,2021-10-28,,
local-land-charges,local-authority:BPL,,2018-11-20,,
local-land-charges,local-authority:BOT,,2024-01-08,,
local-land-charges,local-authority:BST,,2023-07-20,,
local-land-charges,local-authority:BRM,,2021-10-13,,
local-land-charges,local-authority:BRX,,2024-08-01,,
local-land-charges,local-authority:BRT,,2024-04-25,,
local-land-charges,local-authority:BUN,,2023-04-27,,
local-land-charges,local-authority:BUR,,2022-07-14,,
local-land-charges,local-authority:CLD,,2024-10-28,,
local-land-charges,local-authority:CAT,,2025-08-21,,
local-land-charges,local-authority:CAR,,2020-04-21,,
local-land-charges,local-authority:CAS,,2025-09-23,,
local-land-charges,local-authority:CHL,,2023-03-28,,
local-land-charges,local-authority:CHT,,2022-09-01,,
local-land-charges,local-authority:LIC,,2022-04-20,,
local-land-charges,local-authority:LND,,2018-10-08,,
local-land-charges,local-authority:WLV,,2023-01-18,,
local-land-charges,local-authority:IOS,,2019-01-17,,
local-land-charges,local-authority:CRA,,2023-03-28,,
local-land-charges,local-authority:DER,,2025-12-01,,
local-land-charges,local-authority:DOV,,2025-04-23,,
local-land-charges,local-authority:DUD,,2021-07-19,,
local-land-charges,local-authority:ECA,,2022-12-05,,
local-land-charges,local-authority:EDE,,2024-01-04,,
local-land-charges,local-authority:EHE,,2025-04-28,,
local-land-charges,local-authority:ELI,,2020-06-26,,
local-land-charges,local-authority:EPP,,2023-04-25,,
local-land-charges,local-authority:EPS,,2025-10-28,,
local-land-charges,local-authority:FEN,,2022-09-06,,
local-land-charges,local-authority:FOE,,2026-01-21,,
local-land-charges,local-authority:GED,,2024-03-27,,
local-land-charges,local-authority:GRA,,2024-10-09,,
local-land-charges,local-authority:HAL,,2023-03-16,,
local-land-charges,local-authority:HAE,,2021-10-28,,
local-land-charges,local-authority:HAO,,2022-04-29,,
local-land-charges,local-authority:HRY,,2021-12-20,,
local-land-charges,local-authority:HAS,,2024-03-19,,
local-land-charges,local-authority:HAG,,2023-03-28,,
local-land-charges,local-authority:HER,,2025-12-10,,
local-land-charges,local-authority:HIG,,2023-04-25,,
local-land-charges,local-authority:IOW,,2022-04-27,,
local-land-charges,local-authority:KHL,,2023-04-24,,
local-land-charges,local-authority:KWL,,2022-10-12,,
local-land-charges,local-authority:LBH,,2019-10-01,,
local-land-charges,local-authority:LDS,,2024-01-08,,
local-land-charges,local-authority:LEE,,2025-04-30,,
local-land-charges,local-authority:LIV,,2018-09-03,,
local-land-charges,local-authority:BEX,,2024-04-17,,
local-land-charges,local-authority:ENF,,2022-08-15,,
local-land-charges,local-authority:HRW,,2024-11-25,,
local-land-charges,local-authority:WND,,2022-11-15,,
local-land-charges,local-authority:MAL,,2024-11-05,,
local-land-charges,local-authority:MAV,,2023-01-12,,
local-land-charges,local-authority:MDW,,2024-07-12,,
local-land-charges,local-authority:MDE,,2023-10-10,,
local-land-charges,local-authority:MSU,,2022-01-20,,
local-land-charges,local-authority:MSS,,2022-03-21,,
local-land-charges,local-authority:MIK,,2020-08-27,,
local-land-charges,local-authority:NEA,,2021-10-26,,
local-land-charges,local-authority:NEC,,2022-05-02,,
local-land-charges,local-authority:NHE,,2024-01-22,,
local-land-charges,local-authority:NKE,,2021-12-16,,
local-land-charges,local-authority:NLN,,2024-05-31,,
local-land-charges,local-authority:NNO,,2025-10-14,,
local-land-charges,local-authority:NWL,,2022-07-27,,
local-land-charges,local-authority:NOW,,2019-07-11,,
local-land-charges,local-authority:NUN,,2025-10-31,,
local-land-charges,local-authority:OAD,,2025-07-07,,
local-land-charges,local-authority:PEN,,2021-11-15,,
local-land-charges,local-authority:PTE,,2020-01-31,,
local-land-charges,local-authority:PLY,,2022-01-07,,
local-land-charges,local-authority:POR,,2022-04-28,,
local-land-charges,local-authority:RED,,2021-10-13,,
local-land-charges,local-authority:RIH,,2022-10-27,,
local-land-charges,local-authority:KTT,,2025-04-25,,
local-land-charges,local-authority:RUG,,2024-09-05,,
local-land-charges,local-authority:RUN,,2025-01-17,,
local-land-charges,local-authority:RUS,,2025-04-17,,
local-land-charges,local-authority:RUT,,2022-12-12,,
local-land-charges,local-authority:RYE,,2023-03-27,,
local-land-charges,local-authority:SLF,,2023-03-31,,
local-land-charges,local-authority:SAW,,2023-10-19,,
