dataset,name,plural,wikidata,wikipedia,typology,themes,description,text
internal-drainage-board,Internal drainage board,Internal drainage boards,Q6047836,https://en.wikipedia.org/wiki/Internal_drainage_board,organisation,administrative,,
national-park-authority,National park authority,National park authorities,Q3336962,https://en.wikipedia.org/wiki/National_park_authority,organisation,administrative,,
local-authority-eng,Local authority,Local authorities,Q171634,https://en.wikipedia.org/wiki/Local_government_in_England,organisation,administrative,,
government-organisation,Government organisation,Government organisations,Q2500378,https://en.wikipedia.org/wiki/Departments_of_the_Government_of_the_United_Kingdom,organisation,administrative,,
development-corporation,Development corporation,Development corporations,Q5266682,https://en.wikipedia.org/wiki/Development_corporation,organisation,administrative,,
ancient-woodland,Ancient woodland,Ancient woodlands,Q3078732,https://en.wikipedia.org/wiki/Ancient_woodland,geography,environment,,
area-of-outstanding-natural-beauty,Area of outstanding natural beauty,Areas of outstanding natural beauty,Q174945,https://en.wikipedia.org/wiki/Area_of_Outstanding_Natural_Beauty,geography,environment,,
brownfield-land,Brownfield land,Brownfield land,Q896586,https://en.wikipedia.org/wiki/Brownfield_land,geography,development,,
brownfield-site,Brownfield site,Brownfield sites,Q896586,https://en.wikipedia.org/wiki/Brownfield_land,geography,development,,
conservation-area,Conservation area,Conservation areas,Q5162904,https://en.wikipedia.org/wiki/Conservation_area_(United_Kingdom),geography,heritage,,
development-plan-document,Development plan document,Development plan documents,Q5266783,https://en.wikipedia.org/wiki/Development_plan,organisation,development,,
development-plan-type,Development plan type,Development plan types,,,category,development,,
development-policy,Development policy,Development policies,,,policy,development,,
development-policy-area,Development policy area,Development policy areas,,,geography,development,,
development-policy-category,Development policy category,Development policy categories,Q5962346,https://en.wikipedia.org/wiki/Classification_(general_theory),category,development,,
document,Document,Documents,Q49848,https://en.wikipedia.org/wiki/Document,document,development,,
organisation,Organisation,Organisations,Q43229,https://en.wikipedia.org/wiki/Organization,organisation,administrative,,
geography,Geography,Geographies,Q2221906,https://en.wikipedia.org/wiki/Location,geography,development,,
document-type,Document type,Document types,,,category,development,,
green-belt,Green belt,Green belt,Q2734873,https://en.wikipedia.org/wiki/Green_belt_(United_Kingdom),geography,environment,,
heritage-coast,Heritage coast,Heritage coast,Q13125592,https://en.wikipedia.org/wiki/Heritage_coast,geography,environment;heritage,,
battlefield,Battlefield,Battlefields,Q4895508,https://en.wikipedia.org/wiki/Battlefield,geography,heritage,,
building-preservation-notice,Building preservation notice,Building preservation notices,Q98785867,https://en.wikipedia.org/wiki/Listed_building#England_and_Wales,geography,development,,
certificate-of-immunity,Certificate of immunity,Certificates of immunity,Q5065092,https://en.wikipedia.org/wiki/Certificate_of_Immunity_from_Listing,geography,heritage,,
heritage-at-risk,Heritage at risk,Heritage at risk,Q16983914,https://en.wikipedia.org/wiki/Heritage_at_Risk_Register,geography,heritage,,
listed-building,Listed building,Listed buildings,Q570600,https://en.wikipedia.org/wiki/Listed_building,geography,heritage,,
park-and-garden,Park and garden,Parks and gardens,Q6975250,https://en.wikipedia.org/wiki/Register_of_Historic_Parks_and_Gardens_of_Special_Historic_Interest_in_England,geography,environment;heritage,,
protected-wreck-site,Protected wreck site,Protected wreck sites,Q6616121,https://en.wikipedia.org/wiki/List_of_designations_under_the_Protection_of_Wrecks_Act,geography,heritage,,
scheduled-monument,Scheduled monument,Scheduled monuments,Q219538,https://en.wikipedia.org/wiki/Scheduled_monument,geography,heritage,,
world-heritage-site,World heritage site,World heritage sites,Q9259,https://en.wikipedia.org/wiki/World_Heritage_Site,geography,heritage,,
local-authority-district,Local authority district,Local authority districts,Q349084,https://en.wikipedia.org/wiki/Districts_of_England,geography,administrative,,
ownership-status,Ownership status,Ownership statuses,,,category,development,,
parish,Civil parish,Civil parishes,Q1115575,https://en.wikipedia.org/wiki/Civil_parish,geography,administrative,,
planning-permission-status,Planning permission status,Planning permission statuses,,,category,development,,
planning-permission-type,Planning permission type,Planning permission types,,,category,development,,
ramsar,Ramsar site,Ramsar sites,Q19683138,https://en.wikipedia.org/wiki/Ramsar_site,geography,environment,,
site-category,Site category,Site categories,,,category,development,,
site-of-special-scientific-interest,Site of special scientific interest,,Q422211,https://en.wikipedia.org/wiki/Site_of_Special_Scientific_Interest,geography,environment,,
special-area-of-conservation,Special area of conservation,,Q1191622,https://en.wikipedia.org/wiki/Special_Area_of_Conservation,geography,environment,,
attribution,Attribution,Attributions,Q2132119,https://en.wikipedia.org/wiki/Attribution_(copyright),category,specification,,
licence,Licence,Licences,Q7257461,https://en.wikipedia.org/wiki/Public_copyright_license,category,specification,,
contribution-funding-status,Contribution funding status,Contribution funding statuses,,,category,development,,
contribution-purpose,Contribution purpose,Contribution purposes,,,category,development,,
developer-agreement,Developer agreement,Developer agreements,,,document,development,,
developer-agreement-contribution,Developer agreement contribution,Developer agreement contributions,,,value,development,,
developer-agreement-transaction,Developer agreement transaction,Developer agreement transactions,,,value,development,,
developer-agreement-type,Developer agreement type,Developer agreement types,,,category,development,,
