dataset,field,guidance,hint
brownfield-land,PlanningStatus,"Choose one of the following to indicate what stage of the planning process the site is at:
* permissioned * not permissioned * pending decision
When part of a site is permissioned, it should be recorded as “permissioned” and you should explain in the ‘Notes’ field why it’s only partly permissioned.
For more information see paragraph 5 of [Schedule 2 of the 2017 Regulations](http://www.legislation.gov.uk/uksi/2017/403/schedule/2/made).",
brownfield-land,SiteNameAddress,"Enter the site name and address in a single line of text, for example:
``` Parcel of land behind, 221B Baker Street, Marylebone, London, NW1 6XE ```",
brownfield-land,SiteReference,"Enter the unique reference your organisation uses to identify the site.
If one doesn’t exist, you need to create one. It should not be used by your organisation to identify any other sites, but can be borrowed from another data set listing the site. You could use the strategic site identifier from your local plan, for example:
``` EH/141 ```",
brownfield-land,SiteplanURL,"Enter the URL of a web page hosting the site plan, beginning with either “http://” or “https://”.",
brownfield-land,deliverable,,
brownfield-land,end-date,,
brownfield-land,entity,,
brownfield-land,entry-date,,
brownfield-land,hazardous-substances,,
brownfield-land,hectares,,
brownfield-land,latitude,,
brownfield-land,longitude,,
brownfield-land,maximum-net-dwellings,,
brownfield-land,minimum-net-dwellings,,
brownfield-land,name,,
brownfield-land,notes,,
brownfield-land,organisation,,
brownfield-land,ownership-status,,
brownfield-land,planning-permission-date,,
brownfield-land,planning-permission-history,,
brownfield-land,planning-permission-status,,
brownfield-land,planning-permission-type,,
brownfield-land,point,,
brownfield-land,site,,
brownfield-land,site-address,,
brownfield-land,site-plan-url,,
brownfield-land,site-categories,,
brownfield-land,start-date,,
brownfield-land,brownfield-land,,
brownfield-site,categories,,
brownfield-site,documentation-url,,
brownfield-site,end-date,,
brownfield-site,entity,,
brownfield-site,entry-date,,
brownfield-site,geography,,
brownfield-site,geometry,,
brownfield-site,legislation,,
brownfield-site,name,,
brownfield-site,notes,,
brownfield-site,organisation,,
brownfield-site,point,,
brownfield-site,reference,,
brownfield-site,start-date,,
brownfield-site,brownfield-site,,
buffer-zone,categories,,
buffer-zone,documentation-url,,
buffer-zone,end-date,,
buffer-zone,entity,,
buffer-zone,entry-date,,
buffer-zone,geography,,
buffer-zone,geometry,,
buffer-zone,legislation,,
buffer-zone,name,,
buffer-zone,notes,,
buffer-zone,organisation,,
buffer-zone,point,,
buffer-zone,reference,,
buffer-zone,start-date,,
buffer-zone,buffer-zone,,
building-preservation-notice,categories,,
building-preservation-notice,documentation-url,,
building-preservation-notice,end-date,,
building-preservation-notice,entity,,
building-preservation-notice,entry-date,,
building-preservation-notice,geography,,
building-preservation-notice,geometry,,
building-preservation-notice,legislation,,
building-preservation-notice,name,,
building-preservation-notice,notes,,
building-preservation-notice,organisation,,
building-preservation-notice,point,,
building-preservation-notice,reference,,
building-preservation-notice,start-date,,
building-preservation-notice,building-preservation-notice,,
category,category,,
category,end-date,,
category,entity,,
category,entry-date,,
category,name,,
category,start-date,,
central-activities-zone,description,,
central-activities-zone,documentation-url,,
central-activities-zone,end-date,,
central-activities-zone,entity,,
central-activities-zone,entry-date,,
central-activities-zone,geometry,,
central-activities-zone,name,,
central-activities-zone,notes,,
central-activities-zone,organisation,,
central-activities-zone,point,,
central-activities-zone,prefix,,
central-activities-zone,reference,,
central-activities-zone,start-date,,
certificate-of-immunity,categories,,
certificate-of-immunity,documentation-url,,
certificate-of-immunity,end-date,,
certificate-of-immunity,entity,,
certificate-of-immunity,entry-date,,
certificate-of-immunity,geography,,
certificate-of-immunity,geometry,,
certificate-of-immunity,legislation,,
certificate-of-immunity,name,,
certificate-of-immunity,notes,,
certificate-of-immunity,organisation,,
certificate-of-immunity,point,,
certificate-of-immunity,reference,,
certificate-of-immunity,start-date,,
certificate-of-immunity,certificate-of-immunity,,
checksum,bytes,,
checksum,checksum,,
checksum,dataset,,
checksum,end-date,,
checksum,entry-date,,
checksum,line-count,,
checksum,path,,
checksum,start-date,,
coastal-change-management-area,categories,,
coastal-change-management-area,documentation-url,,
coastal-change-management-area,end-date,,
coastal-change-management-area,entity,,
coastal-change-management-area,entry-date,,
coastal-change-management-area,geography,,
coastal-change-management-area,geometry,,
coastal-change-management-area,legislation,,
coastal-change-management-area,name,,
