field,name,datatype,cardinality,parent-field,replacement-field,description,end-date
key-field,Key field,string,True,field,,,
latitude,Latitude,latitude,True,geometry,point,,2020-07-30
legislation,Legislation,string,True,document,,,
licence,Licence,text,True,text,,,
listed-building,Listed building,string,True,geography,,,
listed-building-grade,Listed building grade,string,True,category,,,
local-authority-district,Local Authority District,string,True,statistical-geography,,,
local-authority-eng,Local authority (England),string,True,organisation,,,
local-authority-nir,Local authority (Northern Ireland),string,True,organisation,,,
local-authority-sct,Local authority (Scotland),string,True,organisation,,,
local-authority-type,Local authority type,string,True,category,,,
local-resilience-forum,Local resilience forum,string,True,organisation,,,
longitude,Longitude,longitude,True,geometry,point,,2020-07-30
maximum-net-dwellings,Maximum net dwellings,integer,True,number,,,
member-organisation,Organisation which is a member of this organisation,curie,True,organisation,,,
member-organisations,Organisations which are a member of this organisation,curie,True,organisation,,,
mime-type,MIME Type,string,True,category,,The Multipurpose Internet Mail Extensions type assigned to a file or other resource,
minimum-net-dwellings,Minimum net dwellings,integer,True,number,,,
name,Name,string,True,text,,,
name-cy,Name (Welsh),string,True,name,,,
national-park,National park,string,True,statistical-geography,,,
national-park-authority,National park authority,string,True,organisation,,,
neighbourhood-plan-area,Neighbourhood Plan Area,string,True,geography,,,
new-entity,New entity,string,True,entity,,,
notes,Notes,text,True,text,,,
number,Number,decimal,True,value,,,
official-name,Official name,string,True,name,,,
official-name-cy,Official name (Welsh),string,True,name,,,
open-space,Open space,string,True,geography,,,
opendatacommunities-area,Open Data Communities area,url,True,url,,,
opendatacommunities-organisation,Open Data Communities organisation,url,True,url,,,
organisation,Organisation,curie,True,organisation,,,
organisations,Organisations,string,False,organisation,,,
ownership-status,Ownership status,string,True,category,,,
parameter,Parameter,string,True,string,,,
parameters,Parameters,string,False,string,,,
parent-field,Parent field,string,True,field,,,
parish,Parish,string,True,geography,,,
park-and-garden,Park and garden,string,True,geography,,,
park-and-garden-grade,Park and garden grade,string,True,category,,,
pattern,Pattern,pattern,True,string,,,
permitted-development-right,Permitted development right,string,True,legislation,,,
permitted-development-right-class,Permitted development right class,string,True,category,,,
permitted-development-right-part,Permitted development right part,string,True,category,,,
phase,Phase,string,True,category,,,
pipeline,Pipeline,string,True,identifier,,,
pipelines,Pipelines,string,False,pipeline,,,
planning-application,Planning application,string,True,policy,,,
planning-permission-date,Planning permission date,datetime,True,datetime,,,
planning-permission-history,Planning permission history,url,False,document-url,,,
planning-permission-status,Planning permission status,string,True,category,,,
planning-permission-type,Planning permission type,string,True,category,,,
plugin,Plugin,string,True,identifier,,,
plural,Plural name,string,True,text,,,
point,Point,wkt,True,geometry,,,
policy,Policy,string,True,policy,,,
principal-local-authority,Principal local authority (Wales),string,True,organisation,,,
prison-estate,Prison estate,string,True,geography,,,
project,Project,string,True,specification,,,
project-status,Project status,string,True,specification,,,
protected-wreck-site,Protected wreck site,string,True,geography,,,
provenance,Provenance,hash,True,hash,,,
public-authority,Public authority,string,True,organisation,,,
purpose,Purpose,text,True,text,,,
ramsar,Ramsar,string,True,geography,,,
reference,Reference,string,True,text,,,
region,Region,curie,True,geography,,,
regional-park-authority,Regional park authority,string,True,organisation,,,
register,Register,string,True,specification,,,
registration-district,Registration district,string,True,geography,,,
registry,Registry,string,True,organisation,,,
replacement-field,Replacement field,string,True,field,,,
request-headers,Request headers,json,True,json,,,
resource,Resource,hash,True,hash,,,
resource-url,Resource URL,url,True,url,,,
response-headers,Response headers,json,True,json,,,
row-number,Row number,integer,True,number,,,
scheduled-monument,Scheduled monument,string,True,geography,,,
schema,Schema,string,True,specification,,,
school-type-eng,School type (England),string,True,category,,,
scope-field,Scope field,string,True,field,,,
separator,Separator,string,True,string,,,
shielding-hub,Shielding hub,curie,True,organisation,,,
short-name,Short name,string,True,name,,,
site,Site,string,True,geography,,,
site-address,Site address,string,True,address-text,address-text,,
site-category,Site category,string,True,category,,,
site-of-special-scientific-interest,Site of special scientific interest,string,True,geography,,,
site-plan-url,Site plan URL,url,True,document-url,,,
slug,Slug,string,True,string,,,
slug-prefix,Slug prefix,string,True,string,,,
source,Source,string,True,identifier,,,
special-area-of-conservation,Special area of conservation,string,True,geography,,,
specification,Specification,string,True,specification,,,
start-date,Start date,datetime,True,datetime,,,
statistical-geographies,Statistical geographies,string,False,statistical-geography,,,
statistical-geography,Statistical geography,string,True,geography,,,
statistical-geography-county-eng,Country statistical geography,string,True,statistical-geography,,,
statistical-geography-local-government-district-nir,Local government district statistical geography (Northern Ireland),string,True,statistical-geography,,,
statistical-geography-london-borough-eng,London borough statistical geography (England),string,True,statistical-geography,,,
statistical-geography-metropolitan-district-eng,Metropolitan district statistical geography (England),string,True,statistical-geography,,,
statistical-geography-non-metropolitan-district-eng,Non-metropolitan district statistical geography (England),string,True,statistical-geography,,,
statistical-geography-registration-district-eng,Registration district statistical geography (England),string,True,statistical-geography,,,
statistical-geography-registration-district-wls,Registration district statistical geography (Wales),string,True,statistical-geography,,,
statistical-geography-unitary-authority-eng,Unitary authority statistical geography (England),string,True,statistical-geography,,,
statistical-geography-unitary-authority-wls,Unitary authority statistical geography (Wales),string,True,statistical-geography,,,
status,Status,string,True,category,,,
strategic,Strategic,flag,True,category,,,
street,Street,string,True,geography,,,
string,String,string,True,value,,,
territory,Territory,string,True,geography,,,
text,Text,text,True,string,,,
theme,Theme,string,True,category,,,
themes,Themes,string,False,theme,,,
transport-authority,Transport authority,string,True,organisation,,,
tree,Tree,string,True,identifier,,,
twitter,Twitter,string,True,identifier,,,
typology,Typology,string,True,specification,,,
uk,UK,string,True,geography,,,
units,Units,integer,True,number,,,
url,URL,url,True,url,,,
value,Value,string,True,value,,,
website,Website,url,True,url,,,
wikidata,Wikidata identifier,string,True,identifier,,,
wikipedia,Wikipedia page,url,True,url,,,
world-heritage-site,World heritage site,string,True,geography,,,
