reference,name,description,wikipedia,wikidata,entry-date,start-date,end-date,notes
local-planning-authority,Local Planning Authority,,Local_planning_authority,Q6664495,,,,
mineral-planning-authority,Mineral Planning Authority,,,,,,,
waste-planning-authority,Waste Planning Authority,,,,,,,
