award,start-date,fund,intervention,amount,organisation,organisations,documentation-url,notes
322,2025-02-27,green-belt-reviews,green-belt-reviews,770000,local-authority:GLA,local-authority:RIC;local-authority:BDG;local-authority:WFT;local-authority:RDB;local-authority:HRY;local-authority:HNS;local-authority:BNE;local-authority:EAL;local-authority:HRW;local-authority:NWM;local-authority:STN,,
323,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:GRT,,,
324,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:HAV,,,
325,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:HER,,,
326,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:HIG,,,
327,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:HIL,,,
328,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:KTT,,,
329,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:KIR,,,
330,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:LAC,,,
331,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:LDS,,,
332,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:LIF,,,
333,2025-02-27,green-belt-reviews,green-belt-reviews,420000,local-authority:LCR,local-authority:SHN;local-authority:LIV;local-authority:KWL;local-authority:HAL;local-authority:SFT,,
334,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:LUT,,,
335,2025-02-27,green-belt-reviews,green-belt-reviews,70000,local-authority:NEW,,,
